Etiquetas de fila
0
0.068966
0.08038
0.111111
0.136302
0.142857
0.166667
0.173019
0.176659
0.2
0.215686
0.224777
0.237805
0.245794
0.248687
0.25
0.257143
0.26082
0.266667
0.27391
0.275578
0.294118
0.297297
0.299703
0.301357
0.307692
0.313433
0.324218
0.333333
0.34
0.341176
0.342105
0.343978
0.351109
0.354839
0.36
0.360056
0.363636
0.368421
0.370027
0.386364
0.386947
0.395465
0.396918
0.397294
0.4
0.405405
0.416667
0.418672
0.421053
0.427966
0.428571
0.44
0.441176
0.444444
0.44915
0.454545
0.460447
0.461538
0.474416
0.48
0.487238
0.5
0.509653
0.511111
0.514286
0.516129
0.53125
0.547492
0.555556
0.555608
0.5625
0.571429
0.57973
0.585227
0.587302
0.588235
0.595745
0.6
0.611111
0.633333
0.636364
0.642857
0.649852
0.653061
0.660795
0.666227
0.666667
0.693878
0.699074
0.7
0.707547
0.710526
0.714286
0.72
0.723404
0.740741
0.75
0.773946
0.797468
0.833333
0.884615
1
Total general
